CakeID,CakeName,Description,Price,Image,CategoryID
11,Classic English Muffins (6 Pack),"Món bánh cổ điển của người Anh, thích hợp để ăn sáng cùng món trứng Benedict",86000,main.jpg,2
12,Combo Bánh Ăn Kiêng,"Thông tin combo Bánh Ăn Kiêng gồm:
🍞 Nordlander Bread – Bánh Lúa Mạch Đen Đức. Làm từ bột lúa mạch, ít calories, nhiều hạt ngũ cốc dinh dưỡng nên Norlander là chiếc bánh chuyên biệt dành cho chế độ ăn kiêng hiệu quả.
✔️Trọng lượng: 400gr
✔️Calories ước tính là 230 – 250cal/100gr
🍞 Dark Rye Bread – Bánh Mì Đen Đan Mạch. Bánh mềm, thơm, ít calories, phù hợp cho ăn kiêng.
✔️Trọng lượng: 300gr
✔️Calories ước tính là 259 – 280cal/100gr
🥯 Rye Caraway Bagel – Bánh Mì Đen Vòng ngon nức tiếng. Bánh làm từ bột mì đen, dạng hình đồng xu, có vị thơm từ hạt Thì Là Ba Tư.
✔️Quy cách: 3 chiếc/ túi, 300gr/túi
✔️Calories ước tính là 259 – 280cal/100gr
🍞 High Fiber Bread – Bánh Mì Chất xơ với ngũ cốc nguyên hạt. Là bánh ngũ cốc dành cho ăn kiêng với hàm lượng chất xơ cao, ít calories và giúp no lâu.
✔️Trọng lượng: 360gr
✔️Calories ước tính là 202 – 225cal/100gr
———————————-
‼️Lưu ý:
✅ Combo sẽ được làm tươi từ xưởng sản xuất, địa chỉ 73 Thảo Điền, Quận 2, HCM. Nên cần đặt trước 1 ngày trong khung giờ từ 7h00 – 21h00. Giao bánh hôm sau từ 9h – 17h, từ T2 – T7 hàng tuần.",269000,main.jpeg,2
13,Combo Eat Clean & Detox,"Combo Eat Clean & Detox bao gồm 4 dòng bánh sau:
🍞 Takesumi Whole Wheat Bread – Bánh Mì Tinh Than Tre Nhật Bản. Bánh được làm từ bột tinh than tre hoạt tính Bona Takesumi, bánh gồm có: Bột Tinh Than Tre Nhật Bản, bột mì nguyên cám, bột mè đen. Tỉ lệ nguyên liệu dinh dưỡng, bổ trợ tốt cho quá thải độc tố, làm sạch ruột và ăn kiêng hiệu quả.
✔️Trọng lượng: 400gr
✔️Calories ước tính là 290 – 310 cal/100gr
🥯 Takesumi Burger Buns Whole Wheat – Burger Tinh Than Tre Nhật Bản Nguyên Cám. Bánh được làm từ bột than tre hoạt tính Bona Takesumi được nghiền từ loại tre Mosontake quý hiếm của Nhật Bản, có độ tinh khiết cao và chứa các khoáng chất như kali, canxi, photpho, sắt… Ngoài ra, tre Mosontake có đặc tính xốp, giúp bột Takesumi có khả năng hút khuẩn và loại bỏ chất độc hại tuyệt vời.
✔️ Trọng lượng: 100 gram
✔️ Số lượng: Túi 3 cái
✔️ Calories ước tính là 310 – 330 cal/100gr
🍞 Dark Rye Bread – Bánh Mì Đen Đan Mạch. Bánh mềm, thơm, ít calories, phù hợp cho ăn kiêng.
✔️Trọng lượng: 300gr
✔️Calories ước tính là 259 – 280 cal/100gr
🍞 Nordlander Bread – Bánh Lúa Mạch Đen Đức. Làm từ bột lúa mạch, ít calories, nhiều hạt ngũ cốc dinh dưỡng nên Norlander là chiếc bánh chuyên biệt dành cho chế độ ăn kiêng hiệu quả.
✔️Trọng lượng: 400gr
✔️Calories ước tính là 230 – 250 cal/100gr
*** Lưu ý ***
✅ Combo sẽ được làm tươi từ xưởng sản xuất, địa chỉ 73 Thảo Điền, Quận 2, HCM. Nên cần đặt trước 1 ngày trong khung giờ từ 7h00 – 21h00. Giao bánh hôm sau từ 9h – 17h, từ T2 – T7 hàng tuần.",275000,main.jpg,2
14,Dark Rye With Caraway Bread,"Bánh Lúa Mạch Đen Đan Mạch
Được làm từ bột mì đen kết hợp với gia vị thảo dược caraway với nhiều lợi ích dinh dưỡng, bánh mì đen Đan Mạch vốn là một trong những dòng bánh ăn kiêng, hỗ trợ giảm cân tuyệt vời của La Vita Bakery.
Trọng lượng: 300 grams
Hình dáng: Ổ tròn, chia thành 10 lát
Calories ước tính: 320 – 350 calories/100 grams
Đặt trước: 1 ngày để được phục vụ tốt nhất",60000,main.jpeg,2
15,High Fiber Bread,"Bánh Mì Giàu Chất Xơ
High Fiber được làm từ bột mì thô giàu chất xơ của Đức. Với hàm lượng chất xơ cao, nhiều hạt dinh dưỡng, ít calories và giúp no lâu nên bánh đặc biệt thích hợp cho người ăn kiêng
Trọng lượng: 360 grams
Hình dáng: Ổ dài, chia thành 12 lát
Calories ước tính: 320 – 350 calories/100 grams
Đặt trước: 1 ngày để được phục vụ tốt nhất",75000,main.jpeg,2
16,Honey Whole Wheat Bread,"Bánh Mỳ Mật Ong Nguyên Cám là dòng bánh mỳ nguyên cám chứa nhiều chất dinh dưỡng quý từ mật ong và vỏ cám lúa mỳ. Bánh đặc biệt mềm dai, thơm ngon nên các em bé cực kỳ yêu thích.
Trọng lượng: 400gram
Hình dáng: Ổ dài, chia thành 12 – 13 lát
Đặt trước: 1 ngày để được phục vụ tốt nhất

Cách bảo quản:
– Dùng bánh trong 3 ngày nếu bảo quản kín điều kiện nhiệt độ phòng 18 độ C.
– Dùng bánh trong 1 tháng nếu bảo quản ngăn đông lạnh.",56000,main.jpeg,2
17,Cinnamon Cranberry Bagels (3 Pack),"Bánh Mỳ Vòng Nam Việt Quất Khô
Chất bánh mềm, thơm mùi quế, có vị ngọt nhẹ từ trái Nam Việt Quất
Trọng lượng: 120 gram/cái
Hình dáng: Ổ tròn hình donut
Số lượng: Túi 3 cái
Đặt trước: 1 ngày để được phục vụ tốt nhất",81000,main.jpeg,3
18,MultiGrain Bagels (3 Pack),"Bánh Mỳ Vòng Nhiều Loại Hạt
Trọng lượng: 120 gram/cái
Hình dáng: Ổ tròn hình donut
Số lượng: Túi 6 cái
Đặt trước: 1 ngày để được phục vụ tốt nhất",66000,main.jpeg,3
19,Pesto Parmesan Bagels (3 Pack),"Bánh Mỳ Vòng Thảo Dược
Chất bánh mềm, có vị nguyệt quế tây, phô mai parmesan thơm ngậy
Trọng lượng: 120 gram/cái
Hình dáng: Ổ tròn hình donut
Số lượng: Túi 3 cái
Đặt trước: 1 ngày để được phục vụ tốt nhất",81000,main.jpeg,3
20,Rye Caraway Bagels (3 Pack),"Bánh Mỳ Vòng Lúa Mạch Đen
Rye Bagel được làm từ bột mì đen, thêm bột mì protein cao và hạt thì là ba tư nổi tiếng. Rye Bagel là phần bánh dinh dưỡng, tốt cho sức khỏe và giúp ích cho quá trình ăn kiêng hiệu quả.
Trọng lượng: 100 gram/cái
Hình dáng: Ổ tròn hình donut
Số lượng: Túi 3 cái
Calories ước tính: 320 – 350 calories/100 grams
Đặt trước: 1 ngày để được phục vụ tốt nhất",81000,main.jpeg,3
21,Whole Wheat Multiseed Bagels (3 Pack),"Bánh Mỳ Vòng Ngũ Cốc Nguyên Cám
Chất bánh mềm, thơm mùi ngũ cốc, dinh dưỡng từ các loại hạt như: Hạt Lanh, yến mạch, hạt dưa, hạt bí…
Trọng lượng: 120 gram/cái
Hình dáng: Ổ tròn hình donut
Số lượng: Túi 3 cái
Đặt trước: 1 ngày để được phục vụ tốt nhất",81000,main.jpg,3
22,Set 20/10 Cupcakes,"Set Cupcake Ngày Phụ Nữ Việt Nam 20/10
🧁 4 Bánh Cupcake được trang trí theme 20/10, được đóng gói bằng hộp mica như hình",200000,main.jpeg,4
23,Set-Of-Four Pink Cupcake,"Set 4 cái cupcakes chủ đề Valentine

Quà tặng đáng yêu cho mùa Valentine lãng mạn bên người ấy.",200000,main.jpeg,4
24,Set-Of-Four Red Love Cupcake,"Set 4 cái cupcakes chủ đề Valentine

Quà tặng đáng yêu cho mùa Valentine lãng mạn bên người thân yêu nhất!",200000,main.jpeg,4
25,Chocolate Cupcake,Cupcake với vị Chocolate cổ điển điểm tô với những trái tim nhỏ sẽ giúp bạn có một món tráng miệng tuyệt vời.,40000,main.jpg,4
26,Red Velvet Cupcake,Những chiếc cupcake nhỏ xinh sẽ giúp bạn và người ấy gắn kết nhau hơn.,40000,main.jpg,4
